condition,clockArm,seed,N,clockImpaired,selectorHash,traceHash,kernelStateHash,nativeScheduleHash,scheduleHash,logicalHash,selectorAdmissible,physicalChangeCount,senderChangeCount,nonincidentSenderChangeCount,affectedCount,changedSlotCount,candidateProper,actualSubsetUnion,barrierClosed,motionAuthorized,commitReady,allReactivated,reactivatedCount,finalSuppressedCount,prepareBudgetExhausted,commitBudgetExhausted,dataStateSlotExact,kernelControlAttempts,physicalControlAttempts,kernelControlBytes,physicalControlBytes,kernelControlAirtime,physicalControlAirtime,kernelRecipientAttempts,physicalRecipientAttempts,kernelRecipientSuccess,physicalRecipientSuccess,kernelRecipientErasure,physicalRecipientErasure,prepareMapped,quietMapped,claimMapped,proofMapped,responseMapped,commitMapped,revokeMapped,kernelPrepareAttempts,kernelQuietAttempts,kernelClaimAttempts,kernelProofAttempts,kernelResponseAttempts,kernelCommitAttempts,kernelRevokeAttempts,piggybackRevoke,maxControlPacketBytes,nativeDataAttempts,physicalDataAttempts,dataRecipientAttempts,dataRecipientSuccess,dataRecipientCollision,dataRecipientPartitionExact,kernelCollisionFrames,physicalCollisionAttempts,physicalCollisionFrames,clockTimingConflictFree,clockEquationResidual,clockMinIntergroupGap,clockMaxIntragroupSkew,nativeControlAttempts,physicalFrameDuration,horizonSec,attemptBoundRatio,byteBoundRatio,futureRandomReads,receiverTruthReads
commit-blackout,zero-clock,16092003,5,0,49231,971772275,12901173,6677509,245319960,21036999,1,2,2,2,4,2,1,1,1,1,1,0,1,3,0,1,1,17,17,654,654,0.020928,0.020928,68,68,50,50,18,18,1,3,4,0,3,6,0,1,3,4,0,3,6,0,1,72,129,129,4,4,0,1,0,0,0,1,0,0.00290011600464002,0,17,0.095553856074243,5.83323136445458,0.157407407407407,0.136591478696742,0,0
commit-blackout,affine-clock,16092003,5,1,49231,971772275,12901173,6677509,248381351,21036999,1,2,2,2,4,2,1,1,1,1,1,0,1,3,0,1,1,17,17,654,654,0.020928,0.020928,68,68,50,50,18,18,1,3,4,0,3,6,0,1,3,4,0,3,6,0,1,72,129,129,4,4,0,1,0,0,0,1,0,0.00244989173805354,0.000424877933563994,17,0.095553856074243,5.83323136445458,0.157407407407407,0.136591478696742,0,0
incomplete-union,zero-clock,16092003,5,0,49231,973486565,13717466,31544292,530514880,99215644,1,2,2,2,4,2,1,0,1,1,1,1,4,0,0,0,1,12,12,514,514,0.016448,0.016448,48,48,48,48,0,0,1,3,4,0,3,1,0,1,3,4,0,3,1,0,1,72,288,288,57,4,53,1,53,53,53,1,0,0.00290011600464002,0,12,0.095553856074243,5.83323136445458,0.111111111111111,0.107351712614871,0,0
incomplete-union,affine-clock,16092003,5,1,49231,973486565,13717466,31544292,528553290,99215644,1,2,2,2,4,2,1,0,1,1,1,1,4,0,0,0,1,12,12,514,514,0.016448,0.016448,48,48,48,48,0,0,1,3,4,0,3,1,0,1,3,4,0,3,1,0,1,72,288,288,57,4,53,1,53,53,53,1,0,0.00244989173805354,0.000457942904738218,12,0.095553856074243,5.83323136445458,0.111111111111111,0.107351712614871,0,0
nominal-zero,zero-clock,16092004,5,0,46437,975633406,12446050,31515142,518446960,100488492,1,1,1,1,3,1,1,1,1,1,1,1,3,0,0,0,1,9,9,388,388,0.012416,0.012416,36,36,36,36,0,0,1,2,3,0,2,1,0,1,2,3,0,2,1,0,1,72,291,291,57,57,0,1,0,0,0,1,0,0.00290011600464002,0,9,0.095553856074243,5.83323136445458,0.1125,0.108258928571429,0,0
nominal-zero,affine-clock,16092004,5,1,46437,975633406,12446050,31515142,522346520,100488492,1,1,1,1,3,1,1,1,1,1,1,1,3,0,0,0,1,9,9,388,388,0.012416,0.012416,36,36,36,36,0,0,1,2,3,0,2,1,0,1,2,3,0,2,1,0,1,72,291,291,57,57,0,1,0,0,0,1,0,0.00245785681408162,0.000469402293213683,9,0.095553856074243,5.83323136445458,0.1125,0.108258928571429,0,0
iid20,zero-clock,16092004,5,0,46437,6135918066,12479087,29733376,538271457,95524305,1,1,1,1,3,1,1,1,1,1,1,1,3,0,0,0,1,21,21,1008,1008,0.032256,0.032256,84,84,70,70,14,14,3,4,9,0,4,1,0,3,4,9,0,4,1,0,1,72,280,280,54,54,0,1,0,0,0,1,1.11022302462516e-16,0.00290011600464002,0,21,0.095553856074243,5.83323136445458,0.2625,0.28125,0,0
iid20,affine-clock,16092004,5,1,46437,6135918066,12479087,29733376,545289503,95524305,1,1,1,1,3,1,1,1,1,1,1,1,3,0,0,0,1,21,21,1008,1008,0.032256,0.032256,84,84,70,70,14,14,3,4,9,0,4,1,0,3,4,9,0,4,1,0,1,72,280,280,54,54,0,1,0,0,0,1,1.11022302462516e-16,0.00245785681408162,0.000469402293213683,21,0.095553856074243,5.83323136445458,0.2625,0.28125,0,0
prepare-blackout,zero-clock,16092004,5,0,46437,975559516,12248423,13971597,334135758,43478114,1,1,1,1,3,1,1,1,0,0,0,0,0,2,1,0,1,16,16,544,544,0.017408,0.017408,64,64,56,56,8,8,8,8,0,0,0,0,0,8,8,0,0,0,0,0,1,44,188,188,60,60,0,1,0,0,0,1,0,0.00290011600464019,0,16,0.095553856074243,5.83323136445458,0.2,0.151785714285714,0,0
prepare-blackout,affine-clock,16092004,5,1,46437,975559516,12248423,13971597,346652073,43478114,1,1,1,1,3,1,1,1,0,0,0,0,0,2,1,0,1,16,16,544,544,0.017408,0.017408,64,64,56,56,8,8,8,8,0,0,0,0,0,8,8,0,0,0,0,0,1,44,188,188,60,60,0,1,0,0,0,1,0,0.00288709252219035,0.000350119754417122,16,0.095553856074243,5.83323136445458,0.2,0.151785714285714,0,0
quiescent-blackout,zero-clock,16092004,5,0,46437,975527116,11617518,7491418,272593161,22672214,1,1,1,1,3,1,1,1,0,0,0,0,0,3,1,0,1,24,24,736,736,0.023552,0.023552,96,96,88,88,8,8,8,16,0,0,0,0,0,8,16,0,0,0,0,0,1,44,132,132,4,4,0,1,0,0,0,1,0,0.00290011600464019,0,24,0.095553856074243,5.83323136445458,0.3,0.205357142857143,0,0
quiescent-blackout,affine-clock,16092004,5,1,46437,975527116,11617518,7491418,278087695,22672214,1,1,1,1,3,1,1,1,0,0,0,0,0,3,1,0,1,24,24,736,736,0.023552,0.023552,96,96,88,88,8,8,8,16,0,0,0,0,0,8,16,0,0,0,0,0,1,44,132,132,4,4,0,1,0,0,0,1,0,0.00288709252219035,0.00033743597520336,24,0.095553856074243,5.83323136445458,0.3,0.205357142857143,0,0
response-blackout,zero-clock,16092004,5,0,46437,824640562,12328693,7296357,388063719,25850611,1,1,1,1,3,1,1,1,1,1,0,0,0,3,0,0,1,53,53,2772,2772,0.088704,0.088704,212,212,212,212,0,0,1,2,30,0,20,0,0,1,2,30,0,20,0,0,1,72,132,132,4,4,0,1,0,0,0,1,1.11022302462516e-16,0.00290011600464019,0,53,0.095553856074243,5.83323136445458,0.6625,0.7734375,0,0
response-blackout,affine-clock,16092004,5,1,46437,824640562,12328693,7296357,382752956,25850611,1,1,1,1,3,1,1,1,1,1,0,0,0,3,0,0,1,53,53,2772,2772,0.088704,0.088704,212,212,212,212,0,0,1,2,30,0,20,0,0,1,2,30,0,20,0,0,1,72,132,132,4,4,0,1,0,0,0,1,1.11022302462516e-16,0.00288709252219035,0.00033743597520336,53,0.095553856074243,5.83323136445458,0.6625,0.7734375,0,0
commit-blackout,zero-clock,16092004,5,0,46437,974582026,12693745,13818549,330213581,41842500,1,1,1,1,3,1,1,1,1,1,1,0,1,2,0,1,1,14,14,528,528,0.016896,0.016896,56,56,44,44,12,12,1,2,3,0,2,6,0,1,2,3,0,2,6,0,1,72,185,185,4,4,0,1,0,0,0,1,0,0.00290011600464002,0,14,0.095553856074243,5.83323136445458,0.175,0.147321428571429,0,0
commit-blackout,affine-clock,16092004,5,1,46437,974582026,12693745,13818549,331372724,41842500,1,1,1,1,3,1,1,1,1,1,1,0,1,2,0,1,1,14,14,528,528,0.016896,0.016896,56,56,44,44,12,12,1,2,3,0,2,6,0,1,2,3,0,2,6,0,1,72,185,185,4,4,0,1,0,0,0,1,0,0.00288709252219035,0.00033743597520336,14,0.095553856074243,5.83323136445458,0.175,0.147321428571429,0,0
incomplete-union,zero-clock,16092004,5,0,46437,975743626,12446050,31610047,518914420,100642722,1,1,1,1,3,1,1,0,1,1,1,1,3,0,0,0,1,9,9,388,388,0.012416,0.012416,36,36,36,36,0,0,1,2,3,0,2,1,0,1,2,3,0,2,1,0,1,72,291,291,57,4,53,1,53,53,53,1,0,0.00290011600464002,0,9,0.095553856074243,5.83323136445458,0.1125,0.108258928571429,0,0
incomplete-union,affine-clock,16092004,5,1,46437,975743626,12446050,31610047,522813980,100642722,1,1,1,1,3,1,1,0,1,1,1,1,3,0,0,0,1,9,9,388,388,0.012416,0.012416,36,36,36,36,0,0,1,2,3,0,2,1,0,1,2,3,0,2,1,0,1,72,291,291,57,4,53,1,53,53,53,1,0,0.00245785681408162,0.000469402293213683,9,0.095553856074243,5.83323136445458,0.1125,0.108258928571429,0,0
nominal-zero,zero-clock,16092005,5,0,49231,973354745,13717466,30517326,529780105,99063004,1,2,2,2,4,2,1,1,1,1,1,1,4,0,0,0,1,12,12,514,514,0.016448,0.016448,48,48,48,48,0,0,1,3,4,0,3,1,0,1,3,4,0,3,1,0,1,72,288,288,57,57,0,1,0,0,0,1,0,0.00290011600464002,0,12,0.095553856074243,5.83323136445458,0.111111111111111,0.107351712614871,0,0
nominal-zero,affine-clock,16092005,5,1,49231,973354745,13717466,30517326,536495372,99063004,1,2,2,2,4,2,1,1,1,1,1,1,4,0,0,0,1,12,12,514,514,0.016448,0.016448,48,48,48,48,0,0,1,3,4,0,3,1,0,1,3,4,0,3,1,0,1,72,288,288,57,57,0,1,0,0,0,1,0,0.00256700263831328,0.000354606888649286,12,0.095553856074243,5.83323136445458,0.111111111111111,0.107351712614871,0,0
iid20,zero-clock,16092005,5,0,49231,6031816302,13240769,29967438,538486192,97316231,1,2,2,2,4,2,1,1,1,1,1,1,4,0,0,0,1,17,17,828,828,0.026496,0.026496,68,68,56,56,12,12,1,3,8,0,4,1,0,1,3,8,0,4,1,0,1,72,284,284,56,56,0,1,0,0,0,1,0,0.00290011600464002,0,17,0.095553856074243,5.83323136445458,0.157407407407407,0.172932330827068,0,0
iid20,affine-clock,16092005,5,1,49231,6031816302,13240769,29967438,550274120,97316231,1,2,2,2,4,2,1,1,1,1,1,1,4,0,0,0,1,17,17,828,828,0.026496,0.026496,68,68,56,56,12,12,1,3,8,0,4,1,0,1,3,8,0,4,1,0,1,72,284,284,56,56,0,1,0,0,0,1,0,0.00256700263831328,0.000354606888649286,17,0.095553856074243,5.83323136445458,0.157407407407407,0.172932330827068,0,0
prepare-blackout,zero-clock,16092005,5,0,49231,973280855,12548200,7041860,266146164,22767710,1,2,2,2,4,2,1,1,0,0,0,0,0,3,1,0,1,24,24,768,768,0.024576,0.024576,96,96,88,88,8,8,8,16,0,0,0,0,0,8,16,0,0,0,0,0,1,48,132,132,60,60,0,1,0,0,0,1,0,0.00290011600464019,0,24,0.095553856074243,5.83323136445458,0.222222222222222,0.160401002506266,0,0
prepare-blackout,affine-clock,16092005,5,1,49231,973280855,12548200,7041860,259253955,22767710,1,2,2,2,4,2,1,1,0,0,0,0,0,3,1,0,1,24,24,768,768,0.024576,0.024576,96,96,88,88,8,8,8,16,0,0,0,0,0,8,16,0,0,0,0,0,1,48,132,132,60,60,0,1,0,0,0,1,0,0.00256700263831328,0.000354606888649286,24,0.095553856074243,5.83323136445458,0.222222222222222,0.160401002506266,0,0
quiescent-blackout,zero-clock,16092005,5,0,49231,973248455,12977868,3450606,216274272,8611428,1,2,2,2,4,2,1,1,0,0,0,0,0,4,1,0,1,32,32,960,960,0.03072,0.03072,128,128,120,120,8,8,8,24,0,0,0,0,0,8,24,0,0,0,0,0,1,48,76,76,4,4,0,1,0,0,0,1,0,0.00290011600464019,0,32,0.095553856074243,5.83323136445458,0.296296296296296,0.200501253132832,0,0
quiescent-blackout,affine-clock,16092005,5,1,49231,973248455,12977868,3450606,232405861,8611428,1,2,2,2,4,2,1,1,0,0,0,0,0,4,1,0,1,32,32,960,960,0.03072,0.03072,128,128,120,120,8,8,8,24,0,0,0,0,0,8,24,0,0,0,0,0,1,48,76,76,4,4,0,1,0,0,0,1,0,0.00256700263831328,0.000354606888649286,32,0.095553856074243,5.83323136445458,0.296296296296296,0.200501253132832,0,0
response-blackout,zero-clock,16092005,5,0,49231,825072548,13159495,3608260,381861563,11435990,1,2,2,2,4,2,1,1,1,1,0,0,0,4,0,0,1,74,74,3780,3780,0.12096,0.12096,296,296,296,296,0,0,1,3,40,0,30,0,0,1,3,40,0,30,0,0,1,72,76,76,4,4,0,1,0,0,0,1,1.11022302462516e-16,0.00290011600464019,0,74,0.095553856074243,5.83323136445458,0.685185185185185,0.789473684210526,0,0
response-blackout,affine-clock,16092005,5,1,49231,825072548,13159495,3608260,393793626,11435990,1,2,2,2,4,2,1,1,1,1,0,0,0,4,0,0,1,74,74,3780,3780,0.12096,0.12096,296,296,296,296,0,0,1,3,40,0,30,0,0,1,3,40,0,30,0,0,1,72,76,76,4,4,0,1,0,0,0,1,1.11022302462516e-16,0.00256700263831328,0.000354606888649286,74,0.095553856074243,5.83323136445458,0.685185185185185,0.789473684210526,0,0
commit-blackout,zero-clock,16092005,5,0,49231,971772275,12901173,6677509,245319960,21036999,1,2,2,2,4,2,1,1,1,1,1,0,1,3,0,1,1,17,17,654,654,0.020928,0.020928,68,68,50,50,18,18,1,3,4,0,3,6,0,1,3,4,0,3,6,0,1,72,129,129,4,4,0,1,0,0,0,1,0,0.00290011600464002,0,17,0.095553856074243,5.83323136445458,0.157407407407407,0.136591478696742,0,0
commit-blackout,affine-clock,16092005,5,1,49231,971772275,12901173,6677509,250198597,21036999,1,2,2,2,4,2,1,1,1,1,1,0,1,3,0,1,1,17,17,654,654,0.020928,0.020928,68,68,50,50,18,18,1,3,4,0,3,6,0,1,3,4,0,3,6,0,1,72,129,129,4,4,0,1,0,0,0,1,0,0.00256700263831328,0.000354606888649286,17,0.095553856074243,5.83323136445458,0.157407407407407,0.136591478696742,0,0
incomplete-union,zero-clock,16092005,5,0,49231,973486565,13717466,31544292,530514880,99215644,1,2,2,2,4,2,1,0,1,1,1,1,4,0,0,0,1,12,12,514,514,0.016448,0.016448,48,48,48,48,0,0,1,3,4,0,3,1,0,1,3,4,0,3,1,0,1,72,288,288,57,4,53,1,53,53,53,1,0,0.00290011600464002,0,12,0.095553856074243,5.83323136445458,0.111111111111111,0.107351712614871,0,0
incomplete-union,affine-clock,16092005,5,1,49231,973486565,13717466,31544292,537230147,99215644,1,2,2,2,4,2,1,0,1,1,1,1,4,0,0,0,1,12,12,514,514,0.016448,0.016448,48,48,48,48,0,0,1,3,4,0,3,1,0,1,3,4,0,3,1,0,1,72,288,288,57,4,53,1,53,53,53,1,0,0.00256700263831328,0.000354606888649286,12,0.095553856074243,5.83323136445458,0.111111111111111,0.107351712614871,0,0
nominal-zero,zero-clock,16092006,5,0,46437,975633406,12446050,31515142,518446960,100488492,1,1,1,1,3,1,1,1,1,1,1,1,3,0,0,0,1,9,9,388,388,0.012416,0.012416,36,36,36,36,0,0,1,2,3,0,2,1,0,1,2,3,0,2,1,0,1,72,291,291,57,57,0,1,0,0,0,1,0,0.00290011600464002,0,9,0.095553856074243,5.83323136445458,0.1125,0.108258928571429,0,0
nominal-zero,affine-clock,16092006,5,1,46437,975633406,12446050,31515142,526601046,100488492,1,1,1,1,3,1,1,1,1,1,1,1,3,0,0,0,1,9,9,388,388,0.012416,0.012416,36,36,36,36,0,0,1,2,3,0,2,1,0,1,2,3,0,2,1,0,1,72,291,291,57,57,0,1,0,0,0,1,0,0.0024160567153233,0.000839734029627337,9,0.095553856074243,5.83323136445458,0.1125,0.108258928571429,0,0
iid20,zero-clock,16092006,5,0,46437,6044157389,11891288,31120775,530252177,98097127,1,1,1,1,3,1,1,1,1,1,1,1,3,0,0,0,1,14,14,672,672,0.021504,0.021504,56,56,43,43,13,13,2,3,6,0,2,1,0,2,3,6,0,2,1,0,1,72,286,286,56,56,0,1,0,0,0,1,0,0.00290011600464002,0,14,0.095553856074243,5.83323136445458,0.175,0.1875,0,0
iid20,affine-clock,16092006,5,1,46437,6044157389,11891288,31120775,532768342,98097127,1,1,1,1,3,1,1,1,1,1,1,1,3,0,0,0,1,14,14,672,672,0.021504,0.021504,56,56,43,43,13,13,2,3,6,0,2,1,0,2,3,6,0,2,1,0,1,72,286,286,56,56,0,1,0,0,0,1,0,0.0024160567153233,0.000839734029627337,14,0.095553856074243,5.83323136445458,0.175,0.1875,0,0
prepare-blackout,zero-clock,16092006,5,0,46437,975559516,12248423,13971597,334135758,43478114,1,1,1,1,3,1,1,1,0,0,0,0,0,2,1,0,1,16,16,544,544,0.017408,0.017408,64,64,56,56,8,8,8,8,0,0,0,0,0,8,8,0,0,0,0,0,1,44,188,188,60,60,0,1,0,0,0,1,0,0.00290011600464019,0,16,0.095553856074243,5.83323136445458,0.2,0.151785714285714,0,0
prepare-blackout,affine-clock,16092006,5,1,46437,975559516,12248423,13971597,348223768,43478114,1,1,1,1,3,1,1,1,0,0,0,0,0,2,1,0,1,16,16,544,544,0.017408,0.017408,64,64,56,56,8,8,8,8,0,0,0,0,0,8,8,0,0,0,0,0,1,44,188,188,60,60,0,1,0,0,0,1,0,0.00265383345730924,0.000839734029627337,16,0.095553856074243,5.83323136445458,0.2,0.151785714285714,0,0
quiescent-blackout,zero-clock,16092006,5,0,46437,975527116,11617518,7491418,272593161,22672214,1,1,1,1,3,1,1,1,0,0,0,0,0,3,1,0,1,24,24,736,736,0.023552,0.023552,96,96,88,88,8,8,8,16,0,0,0,0,0,8,16,0,0,0,0,0,1,44,132,132,4,4,0,1,0,0,0,1,0,0.00290011600464019,0,24,0.095553856074243,5.83323136445458,0.3,0.205357142857143,0,0
quiescent-blackout,affine-clock,16092006,5,1,46437,975527116,11617518,7491418,275807816,22672214,1,1,1,1,3,1,1,1,0,0,0,0,0,3,1,0,1,24,24,736,736,0.023552,0.023552,96,96,88,88,8,8,8,16,0,0,0,0,0,8,16,0,0,0,0,0,1,44,132,132,4,4,0,1,0,0,0,1,0,0.00265383345730924,0.000509212625309452,24,0.095553856074243,5.83323136445458,0.3,0.205357142857143,0,0
response-blackout,zero-clock,16092006,5,0,46437,824640562,12328693,7296357,388063719,25850611,1,1,1,1,3,1,1,1,1,1,0,0,0,3,0,0,1,53,53,2772,2772,0.088704,0.088704,212,212,212,212,0,0,1,2,30,0,20,0,0,1,2,30,0,20,0,0,1,72,132,132,4,4,0,1,0,0,0,1,1.11022302462516e-16,0.00290011600464019,0,53,0.095553856074243,5.83323136445458,0.6625,0.7734375,0,0
response-blackout,affine-clock,16092006,5,1,46437,824640562,12328693,7296357,390493946,25850611,1,1,1,1,3,1,1,1,1,1,0,0,0,3,0,0,1,53,53,2772,2772,0.088704,0.088704,212,212,212,212,0,0,1,2,30,0,20,0,0,1,2,30,0,20,0,0,1,72,132,132,4,4,0,1,0,0,0,1,1.11022302462516e-16,0.00265383345730924,0.000509212625309452,53,0.095553856074243,5.83323136445458,0.6625,0.7734375,0,0
commit-blackout,zero-clock,16092006,5,0,46437,974582026,12693745,13818549,330213581,41842500,1,1,1,1,3,1,1,1,1,1,1,0,1,2,0,1,1,14,14,528,528,0.016896,0.016896,56,56,44,44,12,12,1,2,3,0,2,6,0,1,2,3,0,2,6,0,1,72,185,185,4,4,0,1,0,0,0,1,0,0.00290011600464002,0,14,0.095553856074243,5.83323136445458,0.175,0.147321428571429,0,0
commit-blackout,affine-clock,16092006,5,1,46437,974582026,12693745,13818549,335611585,41842500,1,1,1,1,3,1,1,1,1,1,1,0,1,2,0,1,1,14,14,528,528,0.016896,0.016896,56,56,44,44,12,12,1,2,3,0,2,6,0,1,2,3,0,2,6,0,1,72,185,185,4,4,0,1,0,0,0,1,0,0.0024160567153233,0.000509212625309452,14,0.095553856074243,5.83323136445458,0.175,0.147321428571429,0,0
incomplete-union,zero-clock,16092006,5,0,46437,975743626,12446050,31610047,518914420,100642722,1,1,1,1,3,1,1,0,1,1,1,1,3,0,0,0,1,9,9,388,388,0.012416,0.012416,36,36,36,36,0,0,1,2,3,0,2,1,0,1,2,3,0,2,1,0,1,72,291,291,57,4,53,1,53,53,53,1,0,0.00290011600464002,0,9,0.095553856074243,5.83323136445458,0.1125,0.108258928571429,0,0
incomplete-union,affine-clock,16092006,5,1,46437,975743626,12446050,31610047,527068506,100642722,1,1,1,1,3,1,1,0,1,1,1,1,3,0,0,0,1,9,9,388,388,0.012416,0.012416,36,36,36,36,0,0,1,2,3,0,2,1,0,1,2,3,0,2,1,0,1,72,291,291,57,4,53,1,53,53,53,1,0,0.0024160567153233,0.000839734029627337,9,0.095553856074243,5.83323136445458,0.1125,0.108258928571429,0,0
nominal-zero,zero-clock,16092007,5,0,49231,973354745,13717466,30517326,529780105,99063004,1,2,2,2,4,2,1,1,1,1,1,1,4,0,0,0,1,12,12,514,514,0.016448,0.016448,48,48,48,48,0,0,1,3,4,0,3,1,0,1,3,4,0,3,1,0,1,72,288,288,57,57,0,1,0,0,0,1,0,0.00290011600464002,0,12,0.095553856074243,5.83323136445458,0.111111111111111,0.107351712614871,0,0
