gate,passed,detail
registry_frozen,1,"hash 80214145 over 45 leaves"
source_snapshot_frozen,1,"11 files, hash 5061914"
matrix_complete_unique,1,"800/800 unique rows"
exact_declared_seeds,1,"all and only 100 registered seeds"
exact_factor_coverage,1,"N={5,10} and four registered conditions exact"
paired_absolute_draws,1,"four conditions share one absolute trace per seed/N"
source_mapped_transition_contracts,1,"14 contract checks passed"
deterministic_replay,1,"trace, configuration and realization hashes repeat exactly"
named_management_paths,1,"TG 5, TGn 7, TS 235, TSo 155, TSn 394, shrink 4"
native_resolves_physically,0,"194/200 final physically valid"
native_converges_without_unused_slots,0,"189/200 converged by frame 200"
native_frame_agreement,1,"maximum native disagreement 0 slots"
delivery_witnesses_valid,1,"every success/collision has its physical witness"
terminal_accounting_closes,1,"DATA and management recipient outcomes close in every row"
causal_information_only,1,"zero future-random and receiver-truth decision reads"
all_boundary_outcomes_retained,1,"600 boundary rows retained; 189 nonresolved final rows"
conformance_scope_only,1,"no performance promotion or paper decision in kernel study"
