N,geometryCondition,networkCondition,bindingReason,nRuns,admissionRate,meanSelectedHorizonSec,terminalCertificationRate,meanControlAttempts,meanControlBytes,meanRetryClaims,falseValidEdgeFrames,scheduledCollisionFrames
5,mobile-limited-high,claim-iid5,admissible,42,1,3.62857142857143,1,152.333333333333,4210.57142857143,1.14285714285714,0,0
5,mobile-limited-high,claim-iid5,horizon-shorter-than-renewal-slack,2,0,0.25,0,0,0,0,0,0
5,mobile-limited-high,claim-iid5,selector-issued-no-horizon,6,0,0,0,0,0,0,0,0
5,mobile-limited-high,directed-response-blackout,admissible,42,1,3.62857142857143,0.428571428571429,569.238095238095,15457.8095238095,228,0,0
5,mobile-limited-high,directed-response-blackout,horizon-shorter-than-renewal-slack,2,0,0.25,0,0,0,0,0,0
5,mobile-limited-high,directed-response-blackout,selector-issued-no-horizon,6,0,0,0,0,0,0,0,0
5,mobile-limited-high,iid-occupancy15,admissible,42,1,3.62857142857143,1,183.595238095238,5056.19047619048,18.2619047619048,0,0
5,mobile-limited-high,iid-occupancy15,horizon-shorter-than-renewal-slack,2,0,0.25,0,0,0,0,0,0
5,mobile-limited-high,iid-occupancy15,selector-issued-no-horizon,6,0,0,0,0,0,0,0,0
5,mobile-limited-high,joint-control-iid5,admissible,42,1,3.62857142857143,1,156.190476190476,4314.61904761905,3.02380952380952,0,0
5,mobile-limited-high,joint-control-iid5,horizon-shorter-than-renewal-slack,2,0,0.25,0,0,0,0,0,0
5,mobile-limited-high,joint-control-iid5,selector-issued-no-horizon,6,0,0,0,0,0,0,0,0
5,mobile-limited-high,response-iid5,admissible,42,1,3.62857142857143,1,153.738095238095,4248.33333333333,1.88095238095238,0,0
5,mobile-limited-high,response-iid5,horizon-shorter-than-renewal-slack,2,0,0.25,0,0,0,0,0,0
5,mobile-limited-high,response-iid5,selector-issued-no-horizon,6,0,0,0,0,0,0,0,0
5,mobile-limited-high,zero,admissible,42,1,3.62857142857143,1,149.785714285714,4141.80952380952,0,0,0
5,mobile-limited-high,zero,horizon-shorter-than-renewal-slack,2,0,0.25,0,0,0,0,0,0
5,mobile-limited-high,zero,selector-issued-no-horizon,6,0,0,0,0,0,0,0,0
5,mobile-limited-low,claim-iid5,admissible,50,1,3.548,1,85.5,2376.64,0.68,0,0
